Product_Launch_Id,Product_Category,Weeks_Since_Launch,Stores_Selling,Units_that_sold_that_week,Distinct_Customers_Buying_At_Least_Once_Cumulative,Distinct_Customers_Buying_More_Than_Once_Cumulative,Cumulative_Units_Sold_To_Convenience_At_Home_Customers,Cumulative_Units_Sold_To_Family_Focussed_Customers,Cumulative_Units_Sold_To_Finest_Customers,Cumulative_Units_Sold_To_Grab_and_Go_Customers,Cumulative_Units_Sold_To_Shoppers_On_A_Budget,Cumulative_Units_Sold_To_Traditional_Homes_Customers,Cumulative_Units_Sold_To_Watching_The_Waistline_Customers,Cumulative_Units_Sold_To_Least_Price_Sensitive_Customers,Cumulative_Units_Sold_To_Price_Sensitive_Customers,Cumulative_Units_Sold_To_Splurge_And_Save_Customers,Cumulative_Units_Sold_To_Very_Price_Sensitive_Customers
166,Trail Mix & Snacks,25,74,,,,,,,,,,,,,,
166,Trail Mix & Snacks,26,79,,,,,,,,,,,,,,
167,Trail Mix & Snacks,1,1,2,2,0,0,0,0,1,0,0,1,1,1,0,0
167,Trail Mix & Snacks,2,97,146,136,1,36,16,18,16,14,17,24,35,50,23,29
167,Trail Mix & Snacks,3,676,1357,1404,30,357,162,177,130,149,208,245,332,541,193,333
167,Trail Mix & Snacks,4,940,1896,3059,146,796,343,452,270,357,471,535,687,1258,442,781
167,Trail Mix & Snacks,5,781,1366,4224,256,1114,461,636,378,491,684,748,969,1771,593,1108
167,Trail Mix & Snacks,6,588,880,4951,344,1341,530,731,466,576,803,890,1147,2110,702,1291
167,Trail Mix & Snacks,7,347,487,5340,384,1439,569,784,503,633,869,996,1253,2285,770,1396
167,Trail Mix & Snacks,8,311,446,5697,419,1545,603,865,529,690,920,1058,1326,2468,822,1495
167,Trail Mix & Snacks,9,215,301,5925,448,1608,626,910,553,720,956,1119,1398,2573,858,1563
167,Trail Mix & Snacks,10,206,268,6126,480,1675,655,935,569,756,989,1158,1444,2683,888,1613
167,Trail Mix & Snacks,11,129,167,6248,498,1717,674,948,582,775,1008,1188,1484,2744,906,1647
167,Trail Mix & Snacks,12,121,159,6368,510,1758,686,976,598,794,1018,1215,1528,2803,918,1683
167,Trail Mix & Snacks,13,76,109,6448,520,1782,694,990,604,807,1032,1228,1544,2842,927,1712
167,Trail Mix & Snacks,14,76,,,,,,,,,,,,,,
167,Trail Mix & Snacks,15,66,,,,,,,,,,,,,,
167,Trail Mix & Snacks,16,46,,,,,,,,,,,,,,
167,Trail Mix & Snacks,17,52,,,,,,,,,,,,,,
167,Trail Mix & Snacks,18,38,,,,,,,,,,,,,,
167,Trail Mix & Snacks,19,25,,,,,,,,,,,,,,
167,Trail Mix & Snacks,20,30,,,,,,,,,,,,,,
167,Trail Mix & Snacks,21,34,,,,,,,,,,,,,,
167,Trail Mix & Snacks,22,35,,,,,,,,,,,,,,
167,Trail Mix & Snacks,23,20,,,,,,,,,,,,,,
167,Trail Mix & Snacks,24,30,,,,,,,,,,,,,,
167,Trail Mix & Snacks,25,19,,,,,,,,,,,,,,
167,Trail Mix & Snacks,26,21,,,,,,,,,,,,,,
168,Trail Mix & Snacks,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
168,Trail Mix & Snacks,2,143,223,219,0,51,22,23,25,13,36,50,68,89,27,32
168,Trail Mix & Snacks,3,872,2189,2233,67,514,203,305,209,174,435,469,586,922,306,453
168,Trail Mix & Snacks,4,1249,2866,4779,225,1087,399,738,445,423,940,977,1156,1999,641,1133
168,Trail Mix & Snacks,5,896,1731,6210,390,1463,524,973,565,573,1249,1298,1497,2708,815,1511
168,Trail Mix & Snacks,6,601,996,7019,492,1659,587,1097,649,668,1425,1498,1719,3087,931,1723
168,Trail Mix & Snacks,7,297,414,7348,540,1754,615,1149,681,697,1493,1586,1834,3237,964,1809
168,Trail Mix & Snacks,8,247,347,7628,569,1832,631,1220,706,734,1540,1627,1905,3374,993,1882
168,Trail Mix & Snacks,9,181,258,7822,602,1874,640,1272,728,759,1583,1669,1956,3469,1028,1931
168,Trail Mix & Snacks,10,124,154,7945,621,1907,647,1295,733,776,1616,1696,1994,3527,1048,1961
168,Trail Mix & Snacks,11,88,120,8038,636,1926,660,1305,741,796,1638,1718,2036,3567,1061,1979
168,Trail Mix & Snacks,12,75,93,8111,650,1950,665,1314,745,806,1654,1736,2063,3606,1069,1991
168,Trail Mix & Snacks,13,63,79,8179,654,1962,671,1333,750,813,1667,1746,2081,3627,1078,2010
168,Trail Mix & Snacks,14,50,,,,,,,,,,,,,,
168,Trail Mix & Snacks,15,59,,,,,,,,,,,,,,
168,Trail Mix & Snacks,16,29,,,,,,,,,,,,,,
168,Trail Mix & Snacks,17,36,,,,,,,,,,,,,,
168,Trail Mix & Snacks,18,43,,,,,,,,,,,,,,
168,Trail Mix & Snacks,19,27,,,,,,,,,,,,,,
168,Trail Mix & Snacks,20,22,,,,,,,,,,,,,,
168,Trail Mix & Snacks,21,27,,,,,,,,,,,,,,
168,Trail Mix & Snacks,22,25,,,,,,,,,,,,,,
168,Trail Mix & Snacks,23,25,,,,,,,,,,,,,,
168,Trail Mix & Snacks,24,25,,,,,,,,,,,,,,
168,Trail Mix & Snacks,25,20,,,,,,,,,,,,,,
168,Trail Mix & Snacks,26,23,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,1,9,12,10,0,3,1,4,0,1,3,0,0,5,0,7
353,Frzn Ss Economy Meals,2,64,125,89,4,24,5,63,0,6,23,0,4,38,7,74
353,Frzn Ss Economy Meals,3,155,307,293,12,73,7,200,8,41,65,7,13,138,24,225
353,Frzn Ss Economy Meals,4,227,687,698,46,222,14,474,15,93,178,16,27,336,61,548
353,Frzn Ss Economy Meals,5,233,773,1146,80,367,19,790,20,144,327,25,57,553,101,937
353,Frzn Ss Economy Meals,6,221,630,1483,118,477,20,1060,30,195,451,44,70,723,133,1288
353,Frzn Ss Economy Meals,7,179,419,1718,147,544,22,1228,38,237,537,45,83,876,145,1484
353,Frzn Ss Economy Meals,8,179,454,1964,173,640,31,1422,50,281,588,52,101,995,170,1719
353,Frzn Ss Economy Meals,9,208,610,2277,218,758,37,1653,63,343,674,59,110,1191,198,1995
353,Frzn Ss Economy Meals,10,209,483,2536,263,874,41,1810,78,395,745,63,120,1322,216,2247
353,Frzn Ss Economy Meals,11,148,313,2702,286,938,45,1942,80,430,776,65,125,1426,231,2392
353,Frzn Ss Economy Meals,12,173,404,2912,316,1031,51,2086,90,475,839,65,131,1544,264,2582
353,Frzn Ss Economy Meals,13,180,445,3153,349,1113,60,2260,98,528,898,69,145,1709,287,2753
353,Frzn Ss Economy Meals,14,200,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,15,194,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,16,138,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,17,161,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,18,178,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,19,141,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,20,138,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,21,128,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,22,179,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,23,167,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,24,169,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,25,124,,,,,,,,,,,,,,
353,Frzn Ss Economy Meals,26,149,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,1,4,5,4,0,0,0,1,0,1,1,0,0,2,0,1
354,Frzn Ss Economy Meals,2,64,108,79,0,17,3,33,2,24,9,1,2,40,3,41
354,Frzn Ss Economy Meals,3,277,484,437,11,103,14,174,17,116,76,11,20,204,42,235
354,Frzn Ss Economy Meals,4,507,892,1074,36,236,50,460,49,292,152,34,77,497,104,573
354,Frzn Ss Economy Meals,5,707,1409,2035,80,496,104,905,103,536,302,73,145,953,215,1149
354,Frzn Ss Economy Meals,6,818,1731,3197,160,843,154,1469,147,810,489,107,228,1518,317,1875
354,Frzn Ss Economy Meals,7,740,1478,4113,274,1086,204,1942,187,1065,674,158,310,2010,430,2449
354,Frzn Ss Economy Meals,8,725,1307,4925,392,1338,251,2344,221,1285,806,196,391,2408,549,2952
354,Frzn Ss Economy Meals,9,717,1325,5729,501,1621,316,2711,257,1522,961,233,479,2842,653,3486
354,Frzn Ss Economy Meals,10,793,1719,6725,642,1961,362,3252,318,1770,1158,253,578,3398,787,4137
354,Frzn Ss Economy Meals,11,799,1636,7662,766,2268,422,3750,363,2078,1325,286,664,3917,917,4804
354,Frzn Ss Economy Meals,12,746,1407,8487,882,2559,459,4174,409,2336,1470,323,742,4401,1032,5348
354,Frzn Ss Economy Meals,13,825,1566,9380,1005,2845,527,4607,469,2619,1646,363,828,4879,1175,5964
354,Frzn Ss Economy Meals,14,859,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,15,829,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,16,786,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,17,613,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,18,759,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,19,875,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,20,813,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,21,705,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,22,607,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,23,902,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,24,897,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,25,847,,,,,,,,,,,,,,
354,Frzn Ss Economy Meals,26,751,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,1,4,4,4,0,2,0,0,0,0,1,1,0,0,1,3
369,Dry Noodles & Pasta,2,44,62,56,0,16,4,3,5,1,10,24,12,19,8,25
369,Dry Noodles & Pasta,3,42,56,108,0,25,9,5,8,8,23,39,23,42,12,41
369,Dry Noodles & Pasta,4,59,80,172,0,41,13,10,14,11,39,66,38,83,19,52
369,Dry Noodles & Pasta,5,96,130,280,0,67,16,30,23,15,61,99,60,131,38,81
369,Dry Noodles & Pasta,6,136,164,427,4,118,25,36,42,27,83,137,103,196,56,109
369,Dry Noodles & Pasta,7,194,236,632,13,171,30,55,75,35,116,203,166,280,84,143
369,Dry Noodles & Pasta,8,204,261,852,21,238,33,77,100,43,160,287,256,379,115,171
369,Dry Noodles & Pasta,9,194,240,1061,27,301,41,96,117,57,199,354,334,456,143,210
369,Dry Noodles & Pasta,10,253,366,1359,39,396,61,121,156,79,249,451,421,572,179,311
369,Dry Noodles & Pasta,11,208,272,1571,49,453,71,145,186,97,282,536,497,667,212,360
369,Dry Noodles & Pasta,12,380,578,2012,81,592,88,187,260,124,382,669,606,893,278,481
369,Dry Noodles & Pasta,13,343,496,2409,101,706,102,247,298,161,479,770,708,1072,323,590
369,Dry Noodles & Pasta,14,298,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,15,256,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,16,239,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,17,313,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,18,303,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,19,297,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,20,302,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,21,307,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,22,284,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,23,273,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,24,294,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,25,300,,,,,,,,,,,,,,
369,Dry Noodles & Pasta,26,302,,,,,,,,,,,,,,
644,Deli Meat: Bulk,1,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0
644,Deli Meat: Bulk,2,8,11,11,0,2,0,3,2,0,0,4,3,4,1,3
644,Deli Meat: Bulk,3,10,11,20,2,6,0,3,3,1,0,8,6,8,2,5
644,Deli Meat: Bulk,4,18,30,45,4,17,0,3,3,1,3,23,15,17,8,9
644,Deli Meat: Bulk,5,19,22,66,5,22,2,6,5,2,8,26,20,26,10,14
644,Deli Meat: Bulk,6,53,73,131,10,37,5,7,8,8,22,52,38,50,22,28
644,Deli Meat: Bulk,7,68,107,228,18,60,7,10,15,16,43,84,64,91,35,43
644,Deli Meat: Bulk,8,74,119,337,25,89,9,14,26,23,67,119,89,148,54,55
644,Deli Meat: Bulk,9,71,124,437,41,123,17,17,38,27,84,157,123,199,66,72
644,Deli Meat: Bulk,10,81,129,547,54,158,22,23,46,38,105,190,158,247,83,87
644,Deli Meat: Bulk,11,97,127,650,71,190,27,28,58,46,122,225,196,291,100,99
644,Deli Meat: Bulk,12,89,132,746,92,221,30,34,70,51,143,263,230,342,119,114
644,Deli Meat: Bulk,13,77,101,822,103,253,34,41,77,55,154,290,253,384,137,122
644,Deli Meat: Bulk,14,79,,,,,,,,,,,,,,
644,Deli Meat: Bulk,15,81,,,,,,,,,,,,,,
644,Deli Meat: Bulk,16,71,,,,,,,,,,,,,,
644,Deli Meat: Bulk,17,116,,,,,,,,,,,,,,
644,Deli Meat: Bulk,18,165,,,,,,,,,,,,,,
644,Deli Meat: Bulk,19,196,,,,,,,,,,,,,,
644,Deli Meat: Bulk,20,194,,,,,,,,,,,,,,
644,Deli Meat: Bulk,21,215,,,,,,,,,,,,,,
644,Deli Meat: Bulk,22,213,,,,,,,,,,,,,,
644,Deli Meat: Bulk,23,229,,,,,,,,,,,,,,
644,Deli Meat: Bulk,24,238,,,,,,,,,,,,,,
644,Deli Meat: Bulk,25,217,,,,,,,,,,,,,,
644,Deli Meat: Bulk,26,245,,,,,,,,,,,,,,
656,Milk By-Products,1,1,2,1,0,2,0,0,0,0,0,0,0,0,0,2
656,Milk By-Products,2,8,16,10,0,5,0,4,2,5,1,0,0,4,1,12
656,Milk By-Products,3,33,80,47,2,18,1,20,24,10,14,9,30,28,12,25
656,Milk By-Products,4,77,176,141,4,35,8,42,58,27,53,47,81,85,46,51
656,Milk By-Products,5,201,478,393,15,113,16,115,160,74,127,133,240,233,103,143
656,Milk By-Products,6,250,585,683,55,211,32,181,253,131,255,230,468,432,163,207
656,Milk By-Products,7,236,519,910,111,307,42,241,346,185,366,305,657,617,217,267
656,Milk By-Products,8,218,502,1143,160,372,53,290,463,234,460,396,830,793,284,321
656,Milk By-Products,9,213,539,1353,205,432,74,346,569,313,559,484,995,982,343,404
656,Milk By-Products,10,219,528,1556,255,504,91,416,654,370,669,574,1168,1165,409,475
656,Milk By-Products,11,225,509,1751,299,563,112,485,740,428,771,660,1333,1316,472,561
656,Milk By-Products,12,207,457,1931,338,621,117,530,838,506,845,734,1498,1475,514,625
656,Milk By-Products,13,196,418,2084,379,655,128,574,927,544,947,804,1644,1621,572,655
656,Milk By-Products,14,216,,,,,,,,,,,,,,
656,Milk By-Products,15,198,,,,,,,,,,,,,,
656,Milk By-Products,16,209,,,,,,,,,,,,,,
656,Milk By-Products,17,241,,,,,,,,,,,,,,
656,Milk By-Products,18,200,,,,,,,,,,,,,,
656,Milk By-Products,19,149,,,,,,,,,,,,,,
656,Milk By-Products,20,164,,,,,,,,,,,,,,
656,Milk By-Products,21,159,,,,,,,,,,,,,,
656,Milk By-Products,22,196,,,,,,,,,,,,,,
656,Milk By-Products,23,185,,,,,,,,,,,,,,
656,Milk By-Products,24,192,,,,,,,,,,,,,,
656,Milk By-Products,25,177,,,,,,,,,,,,,,
656,Milk By-Products,26,156,,,,,,,,,,,,,,
657,Milk By-Products,1,12,16,14,0,1,1,0,2,0,3,9,6,1,7,2
657,Milk By-Products,2,148,215,209,2,50,7,15,41,11,20,82,89,77,27,27
657,Milk By-Products,3,301,441,597,10,139,16,40,131,44,70,216,241,249,82,72
657,Milk By-Products,4,400,587,1112,33,238,34,69,252,90,131,417,490,422,159,138
657,Milk By-Products,5,418,659,1647,71,364,48,105,359,159,196,650,767,622,234,221
657,Milk By-Products,6,431,686,2192,128,483,73,142,483,208,264,894,1024,872,315,286
657,Milk By-Products,7,375,557,2594,187,601,84,173,582,259,313,1084,1226,1060,382,371
657,Milk By-Products,8,378,587,3012,252,714,107,198,687,293,366,1303,1454,1247,466,430
657,Milk By-Products,9,401,573,3408,328,808,130,226,789,328,409,1527,1691,1414,559,476
657,Milk By-Products,10,389,603,3825,399,906,157,260,892,368,457,1766,1941,1602,634,548
657,Milk By-Products,11,394,567,4190,478,1012,177,300,973,414,510,1973,2163,1768,701,634
657,Milk By-Products,12,400,581,4563,565,1133,187,330,1074,457,549,2188,2387,1953,776,702
657,Milk By-Products,13,411,635,4956,660,1266,201,361,1187,492,613,2421,2643,2152,856,775
657,Milk By-Products,14,398,,,,,,,,,,,,,,
657,Milk By-Products,15,412,,,,,,,,,,,,,,
657,Milk By-Products,16,416,,,,,,,,,,,,,,
657,Milk By-Products,17,411,,,,,,,,,,,,,,
657,Milk By-Products,18,341,,,,,,,,,,,,,,
657,Milk By-Products,19,383,,,,,,,,,,,,,,
657,Milk By-Products,20,382,,,,,,,,,,,,,,
657,Milk By-Products,21,376,,,,,,,,,,,,,,
657,Milk By-Products,22,400,,,,,,,,,,,,,,
657,Milk By-Products,23,428,,,,,,,,,,,,,,
657,Milk By-Products,24,461,,,,,,,,,,,,,,
657,Milk By-Products,25,490,,,,,,,,,,,,,,
657,Milk By-Products,26,441,,,,,,,,,,,,,,
852,Wet Dog Food,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1
852,Wet Dog Food,2,19,34,19,3,5,10,1,0,9,2,3,3,7,5,14
852,Wet Dog Food,3,68,139,85,11,45,17,16,8,44,13,24,38,54,21,53
852,Wet Dog Food,4,167,418,248,37,150,40,34,51,140,57,72,130,213,73,125
852,Wet Dog Food,5,196,445,409,80,232,68,83,104,235,95,134,233,373,127,208
852,Wet Dog Food,6,176,425,545,117,317,103,106,162,354,136,169,313,552,183,284
852,Wet Dog Food,7,172,401,641,165,401,135,153,194,416,183,236,391,688,253,362
852,Wet Dog Food,8,173,406,736,206,503,177,195,221,508,217,281,477,840,283,466
852,Wet Dog Food,9,156,354,802,265,580,208,208,262,569,267,329,552,976,331,525
852,Wet Dog Food,10,188,457,892,304,674,284,249,297,637,296,387,649,1157,370,600
852,Wet Dog Food,11,181,436,980,345,789,311,303,338,700,342,445,762,1288,422,698
852,Wet Dog Food,12,197,473,1078,383,905,339,349,385,795,387,502,858,1458,499,789
852,Wet Dog Food,13,188,446,1175,413,1010,371,396,422,853,440,556,939,1647,535,870
852,Wet Dog Food,14,185,,,,,,,,,,,,,,
852,Wet Dog Food,15,149,,,,,,,,,,,,,,
852,Wet Dog Food,16,155,,,,,,,,,,,,,,
852,Wet Dog Food,17,159,,,,,,,,,,,,,,
852,Wet Dog Food,18,165,,,,,,,,,,,,,,
852,Wet Dog Food,19,133,,,,,,,,,,,,,,
852,Wet Dog Food,20,150,,,,,,,,,,,,,,
852,Wet Dog Food,21,163,,,,,,,,,,,,,,
852,Wet Dog Food,22,158,,,,,,,,,,,,,,
852,Wet Dog Food,23,127,,,,,,,,,,,,,,
852,Wet Dog Food,24,145,,,,,,,,,,,,,,
852,Wet Dog Food,25,127,,,,,,,,,,,,,,
852,Wet Dog Food,26,152,,,,,,,,,,,,,,
988,Corn,1,8,10,9,0,5,0,1,3,0,0,0,2,3,4,0
988,Corn,2,95,156,154,0,28,9,25,17,9,26,23,55,41,24,17
988,Corn,3,156,321,424,5,96,23,58,37,40,78,77,167,141,61,36
988,Corn,4,154,312,679,15,174,41,93,55,66,120,131,272,232,107,63
988,Corn,5,175,441,969,29,293,58,132,85,102,188,200,421,350,164,110
988,Corn,6,165,286,1209,48,342,68,165,106,127,235,255,528,413,200,138
988,Corn,7,212,398,1532,63,412,86,199,139,156,293,332,665,513,243,174
988,Corn,8,236,431,1869,96,495,116,238,174,184,352,423,809,652,291,202
988,Corn,9,327,892,2486,153,716,151,316,238,252,477,616,1109,939,405,273
988,Corn,10,244,465,2834,197,812,178,363,259,292,549,699,1250,1086,463,310
988,Corn,11,274,633,3306,259,939,210,438,301,335,647,813,1462,1278,538,352
988,Corn,12,314,824,3960,314,1126,254,525,352,392,762,949,1722,1513,640,421
988,Corn,13,311,809,4551,403,1277,285,587,404,464,891,1109,2014,1735,714,483
988,Corn,14,249,,,,,,,,,,,,,,
988,Corn,15,312,,,,,,,,,,,,,,
988,Corn,16,289,,,,,,,,,,,,,,
988,Corn,17,286,,,,,,,,,,,,,,
988,Corn,18,245,,,,,,,,,,,,,,
988,Corn,19,241,,,,,,,,,,,,,,
988,Corn,20,216,,,,,,,,,,,,,,
988,Corn,21,237,,,,,,,,,,,,,,
988,Corn,22,217,,,,,,,,,,,,,,
988,Corn,23,156,,,,,,,,,,,,,,
988,Corn,24,161,,,,,,,,,,,,,,
988,Corn,25,129,,,,,,,,,,,,,,
988,Corn,26,112,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,1,58,67,64,0,10,0,2,6,0,1,40,25,20,8,3
1104,Specialty Cheese Pre Pack,2,102,115,172,3,30,3,3,17,5,7,91,64,59,20,7
1104,Specialty Cheese Pre Pack,3,126,147,304,7,50,5,9,24,8,22,170,119,105,38,21
1104,Specialty Cheese Pre Pack,4,130,150,437,18,65,8,11,38,11,34,250,182,144,55,29
1104,Specialty Cheese Pre Pack,5,132,151,573,24,90,14,18,48,14,43,321,231,190,71,47
1104,Specialty Cheese Pre Pack,6,96,119,664,37,109,18,20,56,16,50,383,270,232,85,54
1104,Specialty Cheese Pre Pack,7,124,146,791,46,131,21,22,67,21,59,455,317,281,98,66
1104,Specialty Cheese Pre Pack,8,110,138,905,54,156,25,25,75,23,75,517,376,322,107,79
1104,Specialty Cheese Pre Pack,9,112,150,1022,68,184,26,28,85,30,86,598,442,353,132,93
1104,Specialty Cheese Pre Pack,10,146,190,1186,82,216,31,35,101,33,102,689,522,407,151,108
1104,Specialty Cheese Pre Pack,11,187,241,1389,101,264,36,43,123,38,123,795,607,477,189,132
1104,Specialty Cheese Pre Pack,12,109,131,1493,112,286,41,45,136,42,133,860,658,520,208,139
1104,Specialty Cheese Pre Pack,13,125,153,1616,125,318,42,50,149,46,143,935,707,576,226,150
1104,Specialty Cheese Pre Pack,14,159,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,15,298,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,16,146,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,17,125,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,18,115,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,19,131,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,20,130,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,21,132,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,22,135,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,23,132,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,24,129,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,25,161,,,,,,,,,,,,,,
1104,Specialty Cheese Pre Pack,26,162,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,1,105,129,123,0,21,4,3,7,3,11,66,47,39,21,8
1105,Specialty Cheese Pre Pack,2,128,158,275,2,46,7,8,25,7,23,138,103,90,41,19
1105,Specialty Cheese Pre Pack,3,138,167,435,7,67,7,13,36,15,34,227,169,140,55,36
1105,Specialty Cheese Pre Pack,4,139,163,586,13,92,11,18,56,21,44,301,225,186,77,55
1105,Specialty Cheese Pre Pack,5,138,160,729,24,121,14,22,72,28,57,370,292,229,90,71
1105,Specialty Cheese Pre Pack,6,174,203,906,44,152,18,30,82,36,72,468,368,280,108,95
1105,Specialty Cheese Pre Pack,7,169,213,1093,54,182,22,32,94,43,85,589,456,336,130,111
1105,Specialty Cheese Pre Pack,8,140,167,1235,72,215,24,39,102,49,91,673,521,385,148,123
1105,Specialty Cheese Pre Pack,9,193,241,1438,94,256,29,46,123,58,108,785,608,458,174,143
1105,Specialty Cheese Pre Pack,10,185,241,1644,117,294,31,52,131,63,133,907,692,534,200,153
1105,Specialty Cheese Pre Pack,11,213,281,1889,136,344,37,58,145,76,152,1045,791,622,224,182
1105,Specialty Cheese Pre Pack,12,161,208,2059,157,384,40,60,165,81,173,1138,867,679,250,204
1105,Specialty Cheese Pre Pack,13,173,214,2226,178,417,43,66,184,85,191,1243,945,753,269,220
1105,Specialty Cheese Pre Pack,14,199,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,15,265,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,16,183,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,17,185,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,18,187,,,,,,,,,,,,,,
1105,Specialty Cheese Pre Pack,19,200,,,,,,,,,,,,,,
